1596.5517 -8.6624 3.9676 -3.5758 8.7550 -3.2225 405.8166 13.0731 5.5949 7.5664 -80.2098 -4.3986 -0.2720 2.2871 -4.1924 10.2550 0.6808 6.7525 12.2768 15.1802 5.2380 12.1980 29.9988 -0.1732 -2.6332 -22.1887 0.0000 -7.9567 -4.7697 -75.1252 | 11.6771
-125.9325 -9074.5455 2.5156 0.8585 -89.3561 -8.4425 7.4908 -1.0712 2.0536 5.4267 -3273.3824 2.2945 1.0506 3.2117 -8.1580 5.9993 -11.0875 -9.1330 -0.1419 -6.1534 23.0076 -28.7496 -3.9005 -10.4156 23.1154 -0.8252 6.7288 -14.7274 10.1588 3.1901 | -0.1970
-9.9120 11.6173 -10131.0526 150.7456 -16.1038 -49.4669 -13.4593 65.6318 -3.1311 -0.0548 -7.4306 4.8916 6.8977 -3.2066 0.3581 26.3711 4.6934 -9.4868 13.0074 0.8760 -8.2874 -3.6818 -5.2086 -5.4264 -4.8286 33.8626 6.3951 1.1652 -10.1750 27.1224 | 2.3842
-26.4603 0.0811 1.7497 -2648.1373 2.1694 1402.3000 -4.4234 -40.6420 6.4872 35.5867 2.9756 -3.3333 18.7051 -1.4262 -23.9541 -3.6888 3.1379 -5.4154 -19.3854 -14.4326 -6.8968 -2.7107 -1.3711 3.0690 2.2011 -0.6137 2.2180 -12.9720 9.1343 51.7363 | 3.9134
-14.4955 27.8379 6.6398 20.8176 -2119.9123 1.2087 9.9909 -13.1513 4.9551 38.8620 -5.1269 -25.8593 -18.3778 1183.9877 -9.1114 3.2685 -30.3359 -14.1707 3.8544 -7.7778 44.5911 -8.6376 9.1240 -1.3776 -8.4457 -5.4165 -6.1429 -8.9996 9.3058 -11.2561 | -2.8940
-1.4921 -14.1515 389.9526 12.2326 7.8823 -2528.3146 227.3750 -11.1304 -20.0163 -3.9283 -13.2092 346.7149 2.8558 5.8430 -4.6543 59.0431 8.9787 -128.1643 0.4433 -2.0888 -0.1922 5.4068 4.4415 9.1930 -0.3539 -4.6805 10.8916 -4.8618 -8.4019 -7.9230 | 5.2185
-2.8452 5.2626 13.7955 8.9563 1.2939 -7.4766 -5013.3333 -8.9091 -75.2780 90.0715 36.2005 -2.9806 -3.0220 4.9570 8.3576 -0.1264 224.7805 8.8549 -1.1586 27.2632 2.1019 1.4458 -375.0826 12.0234 67.1102 -2.4162 -5.0384 -5.0527 2.3136 9.3020 | 22.1936
-5.3187 6.5469 -9.4492 -18.7835 -8.3492 -0.9308 1.0182 -523.9860 32.1366 -0.1213 -1.7164 -0.4963 -43.4849 -5.3268 -44.7235 1.7277 123.7988 -12.6949 0.1227 5.7055 4.1227 -7.3298 2.3040 -1.7781 0.8509 -7.1943 3.3663 -2.7750 11.7155 -9.1613 | -4.1039
18.0221 21.4477 -22.1922 21.9599 18.5816 -6.9535 -11.3893 -18.4448 -1558.4615 -18.2571 -17.8162 10.7656 -0.9454 -340.0599 -3.1561 5.2636 -6.4947 -5.9056 -5.1922 9.8483 -8.2267 4.8604 6.1041 -11.3624 -3.4862 90.1944 -22.9378 2.5181 -0.3641 2.5912 | -4.7467
7.2790 6.4271 -1.2222 14.0419 -1.1733 -10.3316 10.6977 9.8978 2.1388 -219.7321 0.5357 2.8719 -5.9307 29.3450 0.3306 43.3667 -0.5386 -4.5416 -0.8458 -4.1204 8.2448 -0.4139 -3.8464 -7.1927 7.4681 9.5230 2.6621 -5.4526 -2.7645 -3.8675 | -1.3501
-5.5927 1.6016 -3.1643 0.7194 18.3133 5.9572 738.7037 -5.3006 19.4537 -63.3997 2176.4286 -8.3808 5.2455 3.1691 1.9203 -5.9794 -0.4349 -19.0864 6.7067 -1.3425 -4.9691 -3.8756 1.2302 18.0876 28.2351 -11.4900 -0.4335 -99.1483 -3.2890 2.0445 | -0.8618
-8.8479 7.4536 -9.6942 -4.6978 1.3537 -26.3314 8.1074 14.6670 4.5541 0.3865 -2.7152 -807.7603 2.5302 45.3199 25.8471 -0.3642 31.8778 0.3056 148.1057 19.6796 -7.0356 -8.3110 7.4657 -8.0869 -5.2855 -8.2045 5.6326 7.7510 7.3039 -5.3638 | 8.2774
-0.9798 -7.9923 -21.2186 7.9341 3.6276 3.5051 3.1196 -0.6646 14.2184 -1.6183 -13.9780 -0.6341 -4057.2222 6.0342 17.0676 0.4946 7.3718 -2.2873 -0.5707 -3.1359 2.5319 0.7942 0.7083 5.9681 24.4874 -16.5175 -5.7970 -77.7587 12.9945 -5.7125 | -2.6925
-14.4506 -28.2915 0.0522 6.4805 2.9142 -19.8329 0.0635 11.1181 -1.0952 -19.7052 12.8346 -13.7236 -1.3143 1158.7805 12.4015 -13.9418 57.7112 3.4664 0.5873 2.4582 0.9829 5.4890 -8.0960 -3.3390 1.7483 -18.6816 1.6673 49.0034 308.0849 -2.9885 | 1.6203
-3.5564 23.3028 -6.9846 11.3049 0.6164 -2.1756 56.2426 -18.4735 -8.0059 784.3307 -5.5848 1.6944 24.7696 -46.8170 9513.3333 1.4039 -2.9794 0.6694 -11.0507 -1.4550 1.5123 0.9019 -4.1291 0.1908 0.6387 -2.8037 11.0518 -1.8977 -556.5789 -2.5260 | 2.9882
-24.9155 10.2658 57.7203 6.0232 -66.6351 4.6363 -2.9586 -6.5195 -1.1222 -10.0775 -20.9660 8.3254 9.7286 -1.5197 -1.0035 524.6652 -10.5557 -0.0294 -4.9503 7.3135 3.4746 -10.1669 -9.8744 -10.1741 -5.8269 7.8840 3.8541 -4.1464 8.8520 8.8584 | 10.2898
-0.5650 3.2753 1.4339 -6.9180 2.0615 -7.4613 6.8890 -2.2635 -3.1874 2.2033 3.7297 6.2748 -7.2626 6.0663 114.7105 7.3590 510.9112 -23.9105 -7.7346 -13.4057 6.2532 18.7463 -14.4056 -6.3487 14.9063 -2.4349 3.1067 9.6594 -39.5837 6.6333 | 5.4423
